survey_id,respondent_id,age_group,gender,location,product_rating,service_rating,overall_satisfaction,would_recommend,feedback_category,survey_date,completion_time_minutes
S001,R001,25-34,Female,Urban,4,5,4,Yes,Positive,2024-01-15,8.5
S002,R002,35-44,Male,Suburban,3,3,3,Maybe,Neutral,2024-01-16,6.2
S003,R003,18-24,Female,Rural,5,4,5,Yes,Positive,2024-01-17,12.1
S004,R004,45-54,Male,Urban,2,2,2,No,Negative,2024-01-18,4.3
S005,R005,25-34,Female,Suburban,4,4,4,Yes,Positive,2024-01-19,9.8
S006,R006,35-44,Male,Urban,3,4,3,Maybe,Neutral,2024-01-20,7.5
S007,R007,55-64,Female,Rural,5,5,5,Yes,Positive,2024-01-21,15.2
S008,R008,18-24,Male,Suburban,4,3,4,Yes,Positive,2024-01-22,5.9
S009,R009,25-34,Female,Urban,1,1,1,No,Negative,2024-01-23,3.1
S010,R010,45-54,Male,Rural,4,5,4,Yes,Positive,2024-01-24,11.4
S011,R011,35-44,Female,Suburban,3,3,3,Maybe,Neutral,2024-01-25,8.7
S012,R012,25-34,Male,Urban,5,4,5,Yes,Positive,2024-01-26,10.3
S013,R013,18-24,Female,Rural,2,3,2,No,Negative,2024-01-27,6.8
S014,R014,55-64,Male,Suburban,4,4,4,Yes,Positive,2024-01-28,13.5
S015,R015,35-44,Female,Urban,3,2,3,Maybe,Neutral,2024-01-29,7.2
S016,R016,25-34,Male,Rural,5,5,5,Yes,Positive,2024-01-30,14.6
S017,R017,45-54,Female,Suburban,4,3,4,Yes,Positive,2024-01-31,9.1
S018,R018,18-24,Male,Urban,2,2,2,No,Negative,2024-02-01,4.7
S019,R019,35-44,Female,Rural,4,4,4,Yes,Positive,2024-02-02,12.8
S020,R020,25-34,Male,Suburban,3,4,3,Maybe,Neutral,2024-02-03,8.4
